unique_name,name,bat_style,bowl_style
P Prasanth,Padmanabhan Prasanth,Left hand Bat,Slow Left arm Orthodox
JH Kallis,Jacques Henry Kallis,Right hand Bat,Right arm Fast medium
SP Goswami,Shreevats Pratyush Goswami,Left hand Bat, 
PD Collingwood,Paul David Collingwood,Right hand Bat,Right arm Medium
JA Morkel,Johannes Albertus Morkel,Left hand Bat,Right arm Medium fast
S Sreesanth,Shanthakumaran Sreesanth,Right hand Bat,Right arm Fast medium
NT Ellis,Nathan Ellis,Right hand Bat,Right arm Fast medium
AL Menaria,Ashok Lakshminarayan Menaria,Left hand Bat,Slow Left arm Orthodox
MM Ali,Moeen Munir Ali,Left hand Bat,Right arm Offbreak
HE van der Dussen,Hendrik Erasmus van der Dussen,Right hand Bat,Legbreak
JPR Scantlebury-Searles,Javon Philip Ramon Scantlebury-Searles,Right hand Bat,Right arm Fast medium
AB Dinda,Ashok Bhimchandra Dinda,Right hand Bat,Right arm Medium fast
K Upadhyay,Krishnakant Upadhyay,Right hand Bat,Right arm Medium
X Thalaivan Sargunam,Xavier Thalaivan Sargunam,Right hand Bat,Right arm Offbreak
B Geeves,Brett Geeves,Right hand Bat,Right arm Fast medium
CA Ingram,Colin Alexander Ingram,Left hand Bat,Legbreak
Mukesh Choudhary,Mukesh Choudhary,Left hand Bat,Left arm Medium
KM Asif,KM Asif,Right hand Bat,Right arm Medium
SD Lad,Siddhesh Dinesh Lad,Right hand Bat,Right arm Offbreak
N Pooran,Nicholas Pooran,Left hand Bat,Right arm Offbreak
AP Dole,Aditya Pradip Dole,Right hand Bat,Right arm Medium fast
Mohit Rathee,Mohit Rathee,Right hand Bat,Legbreak
Lalit Yadav,Lalit Yadav,Right hand Bat,Right arm Offbreak
A Flintoff,Andrew Flintoff,Right hand Bat,Right arm Fast medium
DR Smith,Dwayne Romel Smith,Right hand Bat,Right arm Medium
J Little,Joshua Brian Little,Right hand Bat,Left arm Fast medium
R Ashwin,Ravichandran Ashwin,Right hand Bat,Right arm Offbreak
Mayank Dagar,Mayank J Dagar,Right hand Bat,Slow Left arm Orthodox
MD Shanaka,Madagamagamage Dasun Shanaka,Right hand Bat,Right arm Medium
Shakib Al Hasan,Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox
Jaskaran Singh,Jaskaran Singh Buttar,Right hand Bat,Right arm Medium
MG Neser,Michael Gertges Neser,Right hand Bat,Right arm Medium fast
AG Murtaza,Ali Ghulam Murtaza,Left hand Bat,Slow Left arm Orthodox
DB Ravi Teja,Dwaraka Bhamidipati Ravi Teja,Right hand Bat,Legbreak Googly
S Dhawan,Shikhar Dhawan,Left hand Bat,Right arm Offbreak
SC Kuggeleijn,Scott Christopher Kuggeleijn,Right hand Bat,Right arm Fast medium
M Pathirana,Matheesha Pathirana,Right hand Bat,Right arm Fast
K Gowtham,Krishnappa Gowtham,Right hand Bat,Right arm Offbreak
P Negi,Pawan Negi,Left hand Bat,Slow Left arm Orthodox
F du Plessis,Francois du Plessis,Right hand Bat,Legbreak
R Goyal,Raghav Goyal,Left hand Bat,Left arm Wrist spin
S Dube,Shivam Dube,Left hand Bat,Right arm Medium
DA Miller,David Andrew Miller,Left hand Bat,Right arm Offbreak
DPMD Jayawardene,Denagamage Proboth Mahela de Silva Jayawardene,Right hand Bat,Right arm Medium
S Sandeep Warrier,Sankarankutty Sandeep Warrier,Right hand Bat,Right arm Medium
T Stubbs,Tristan Stubbs,Right hand Bat,Right arm Offbreak
H Das,Halhadar Das,Right hand Bat, 
YK Pathan,Yusuf Khan Pathan,Right hand Bat,Right arm Offbreak
GJ Maxwell,Glenn James Maxwell,Right hand Bat,Right arm Offbreak
Arshad Khan (2),Mohd Arshad Khan,Left hand Bat,Left arm Medium
DJ Hooda,Deepak Jagbir Hooda,Right hand Bat,Right arm Offbreak
P Ray Barman,Prayas Ray Barman,Right hand Bat,Legbreak Googly
S Midhun,Sudhesan Midhun,Right hand Bat,Legbreak Googly
MG Johnson,Mitchell Guy Johnson,Left hand Bat,Left arm Fast
AA Chavan,Ankeet Anil Chavan,Left hand Bat,Slow Left arm Orthodox
AS Rajpoot,Ankit Singh Rajpoot,Right hand Bat,Right arm Medium
STR Binny,Stuart Terence Roger Binny,Right hand Bat,Right arm Medium
WD Parnell,Wayne Dillon Parnell,Left hand Bat,Left arm Medium fast
CJ Dala,Carl Junior Dala,Right hand Bat,Right arm Medium
Yashpal Singh,Yashpal Singh,Right hand Bat,Right arm Medium
UA Birla,Udit Alok Birla,Right hand Bat,Right arm Medium
IS Sodhi,Inderbir Singh Sodhi,Right hand Bat,Legbreak
Rasikh Salam,Rasikh Salam Dar,Right hand Bat,Right arm Medium
DJM Short,D'Arcy John Matthew Short,Left hand Bat,Left arm Wrist spin
TM Head,Travis Michael Head,Left hand Bat,Right arm Offbreak
Mohammad Nabi,Mohammad Nabi,Right hand Bat,Right arm Offbreak
Iqbal Abdulla,Sayed Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox
A Mithun,Abhimanyu Mithun,Right hand Bat,Right arm Medium
JD Ryder,Jesse Daniel Ryder,Left hand Bat,Right arm Medium
PVD Chameera,Pathira Vasan Dushmantha Chameera,Right hand Bat,Right arm Fast
C de Grandhomme,Colin de Grandhomme,Right hand Bat,Right arm Medium fast
PK Garg,Priyam K Garg,Right hand Bat,Right arm Medium
Yuvraj Singh,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox
AC Voges,Adam Charles Voges,Right hand Bat,Slow Left arm Orthodox
IK Pathan,Irfan Khan Pathan,Left hand Bat,Left arm Medium fast
Dhruv Jurel,Dhruv Chand Jurel,Right hand Bat, 
Gurkeerat Singh,Gurkeerat Rupinder Singh,Right hand Bat,Right arm Offbreak
YV Dhull,Yash Vijay Dhull,Right hand Bat,Right arm Offbreak
M Vijay,Murali Vijay,Right hand Bat,Right arm Offbreak
SM Curran,Samuel Matthew Curran,Left hand Bat,Left arm Medium fast
Swapnil Singh,Swapnil Singh,Right hand Bat,Slow Left arm Orthodox
RR Powar,Ramesh Rajaram Powar,Right hand Bat,Right arm Offbreak
K Goel,Karan Goel,Left hand Bat,Right arm Offbreak
S Vidyut,Vidyut Sivaramakrishnan,Left hand Bat,Slow Left arm Orthodox
BB Sran,Barinder Balbirsingh Sran,Left hand Bat,Left arm Medium
AD Nath,Akshdeep Deependra Nath,Right hand Bat,Right arm Medium fast
GB Hogg,George Bradley Hogg,Left hand Bat,Left arm Wrist spin
MJ Guptill,Martin James Guptill,Right hand Bat,Right arm Offbreak
SMSM Senanayake,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,Right hand Bat,Right arm Offbreak
C Munro,Colin Munro,Left hand Bat,Right arm Medium fast
SL Malinga,Separamadu Lasith Malinga,Right hand Bat,Right arm Fast
JP Faulkner,James Peter Faulkner,Right hand Bat,Left arm Fast medium
CH Morris,Christopher Henry Morris,Right hand Bat,Right arm Fast medium
LH Ferguson,Lachlan Hammond Ferguson,Right hand Bat,Right arm Fast
JEC Franklin,James Edward Charles Franklin,Left hand Bat,Left arm Medium
AA Jhunjhunwala,Abhishek Arunkumar Jhunjhunwala,Right hand Bat,Right arm Offbreak
KB Arun Karthik,Konda Bhaskir Arun Karthik,Right hand Bat,Legbreak Googly
Harpreet Singh,Harpreet Singh Bhatia,Left hand Bat,Right arm Medium
HV Patel,Harshal Vikram Patel,Right hand Bat,Right arm Medium
Aman Hakim Khan,Aman Hakim Khan,Right hand Bat,Right arm Medium
Gagandeep Singh,Gagandeep Singh,Right hand Bat,Right arm Medium fast
AN Ghosh,Arindam Nanigopal Ghosh,Right hand Bat,Right arm Medium
FY Fazal,Faiz Yakub Fazal,Left hand Bat,Right arm Medium
RK Singh,Rinku Khanchand Singh,Left hand Bat,Right arm Offbreak
VR Aaron,Varun Raymond Aaron,Right hand Bat,Right arm Fast
SV Samson,Sanju Viswanath Samson,Right hand Bat, 
S Gopal,Shreyas Gopal,Right hand Bat,Legbreak
RR Raje,Rohan Ravindra Raje,Right hand Bat,Right arm Fast medium
MS Wade,Matthew Scott Wade,Left hand Bat,Right arm Medium
KC Cariappa,Konganda Charamanna Cariappa,Right hand Bat,Legbreak
S Rana,Sachin Rana,Right hand Bat,Right arm Medium fast
SSB Magala,Sisanda Somila Bruce Magala,Right hand Bat,Right arm Fast medium
DJ Harris,Daniel Joseph Harris,Right hand Bat,Right arm Medium
TM Srivastava,Tanmay Manoj Srivastava,Left hand Bat,Right arm Medium
B Sumanth,Bodapati Apparao Sumanth,Right hand Bat,Right arm Medium fast
Q de Kock,Quinton de Kock,Left hand Bat, 
Pankaj Singh,Pankaj Singh,Right hand Bat,Right arm Medium fast
SS Sarkar,Sourav Subrata Sarkar,Right hand Bat,Right arm Medium
Basil Thampi,Basil Thampi,Right hand Bat,Right arm Fast medium
RN ten Doeschate,Ryan Neil ten Doeschate,Right hand Bat,Right arm Medium fast
Y Prithvi Raj,Prithvi Raj Yarra,Left hand Bat,Left arm Medium
S Aravind,Sreenath Aravind,Left hand Bat,Left arm Medium fast
Akash Singh,Akash Maharaj Singh,Right hand Bat,Left arm Medium fast
PH Solanki,Prashant Hitesh Solanki,Right hand Bat,Legbreak
J Arunkumar,Jagadeesh Arunkumar,Right hand Bat,Right arm Offbreak
S Badree,Samuel Badree,Right hand Bat,Legbreak
AB de Villiers,Abraham Benjamin de Villiers,Right hand Bat,Right arm Medium
M Markande,Mayank Markande,Right hand Bat,Legbreak
AR Bawne,Ankit Ramdas Bawne,Right hand Bat,Right arm Offbreak
Shahbaz Ahmed,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox
JP Duminy,Jean-Paul Duminy,Left hand Bat,Right arm Offbreak
L Balaji,Lakshmipathy Balaji,Right hand Bat,Right arm Medium fast
DE Bollinger,Douglas Erwin Bollinger,Left hand Bat,Left arm Fast medium
CJ Green,Christopher James Green,Right hand Bat,Right arm Offbreak
R Shukla,Rahul Shukla,Right hand Bat,Right arm Medium
SJ Srivastava,Shalabh Jagdishprasad Srivastava,Right hand Bat,Left arm Fast medium
Ravi Bishnoi,Ravi Bishnoi,Right hand Bat,Legbreak Googly
S Badrinath,Subramaniam Badrinath,Right hand Bat,Right arm Offbreak
B Sai Sudharsan,Bhardwaj Sai Sudharsan,Left hand Bat,Legbreak
S Ladda,Sarabjit Ladda,Right hand Bat,Legbreak
KL Nagarkoti,Kamlesh Lachham Nagarkoti,Right hand Bat,Right arm Fast
KV Sharma,Karn Vinod Sharma,Left hand Bat,Legbreak Googly
VY Mahesh,Vijaykumar Yo Mahesh,Right hand Bat,Right arm Medium fast
KW Richardson,Kane William Richardson,Right hand Bat,Right arm Fast medium
R Sanjay Yadav,Ramsingh  Sanjay Yadav,Left hand Bat,Slow Left arm Orthodox
DH Yagnik,Dishant Harendra Yagnik,Left hand Bat, 
Vishnu Vinod,Vishnu Vinod,Right hand Bat, 
AB McDonald,Andrew Barry McDonald,Right hand Bat,Right arm Fast medium
DR Sams,Daniel Richard Sams,Right hand Bat,Left arm Fast medium
DP Nannes,Dirk Peter Nannes,Right hand Bat,Left arm Fast
A Singh,Amit Singh,Right hand Bat,Right arm Medium fast
PJ Cummins,Patrick James Cummins,Right hand Bat,Right arm Fast
V Kohli,Virat Kohli,Right hand Bat,Right arm Medium
DJ Mitchell,Daryl Joseph Mitchell,Right hand Bat,Right arm Medium
SB Wagh,Shrikant Bhaskar Wagh,Left hand Bat,Left arm Medium fast
AJ Finch,Aaron James Finch,Right hand Bat,Slow Left arm Orthodox
MM Sharma,Mohit Mahipal Sharma,Right hand Bat,Right arm Medium
I Udana,Isuru Udana Tillakaratna,Right hand Bat,Left arm Medium fast
PWH de Silva,Pinnaduwage Wanindu Hasaranga de Silva,Right hand Bat,Legbreak
NJ Rimmington,Nathan John Rimmington,Right hand Bat,Right arm Fast medium
M Muralitharan,Muthiah Muralidaran,Right hand Bat,Right arm Offbreak
A Kumble,Anil Kumble,Right hand Bat,Legbreak Googly
C Sakariya,Chetan Sakariya,Left hand Bat,Left arm Medium fast
M Ashwin,Murugan Ashwin,Right hand Bat,Legbreak Googly
KH Pandya,Krunal Himanshu Pandya,Left hand Bat,Slow Left arm Orthodox
S Lamichhane,Sandeep Lamichhane,Right hand Bat,Legbreak Googly
TP Sudhindra,Taduri Prakash Chandra Sudhindra,Left hand Bat,Right arm Fast
AM Nayar,Abhishek Mohan Nayar,Left hand Bat,Right arm Medium
A Nehra,Ashish Nehra,Right hand Bat,Left arm Medium fast
Mohammad Hafeez,Mohammad Hafeez,Right hand Bat,Right arm Offbreak
AF Milne,Adam Fraser Milne,Right hand Bat,Right arm Fast
S Sohal,Sunny Sohal,Right hand Bat,Legbreak
DR Martyn,Damien Richard Martyn,Right hand Bat,Right arm Medium
KK Nair,Karun Nair,Right hand Bat,Right arm Offbreak
MS Bisla,Manvinder Sultansingh Bisla,Right hand Bat, 
D Wiese,David Wiese,Right hand Bat,Right arm Medium fast
T Thushara,Magina Thilan Thushara Mirando,Left hand Bat,Left arm Fast medium
GH Vihari,Gade Hanuma Vihari,Right hand Bat,Right arm Offbreak
JM Sharma,Jitesh Mohan Sharma,Right hand Bat, 
JDP Oram,Jacob David Philip Oram,Left hand Bat,Right arm Fast medium
RR Rossouw,Rilee Roscoe Rossouw,Left hand Bat,Right arm Offbreak
MA Agarwal,Mayank Anurag Agarwal,Right hand Bat,Right arm Offbreak
S Randiv,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,Right hand Bat,Right arm Offbreak
B Kumar,Bhuvneshwar Kumar Singh,Right hand Bat,Right arm Medium
Harbhajan Singh,Harbhajan Singh,Right hand Bat,Right arm Offbreak
JL Pattinson,James Lee Pattinson,Left hand Bat,Right arm Fast medium
LRPL Taylor,Luteru Ross Poutoa Lote Taylor,Right hand Bat,Right arm Offbreak
DT Patil,Devraj Thyagaraj Patil,Right hand Bat, 
JR Hazlewood,Josh Reginald Hazlewood,Left hand Bat,Right arm Fast medium
SB Bangar,Sanjay Bapusaheb Bangar,Right hand Bat,Right arm Medium fast
UT Khawaja,Usman Tariq Khawaja,Left hand Bat,Right arm Medium
TS Mills,Tymal Solomon Mills,Right hand Bat,Left arm Fast
Ishan Kishan,Ishan Pranav Kumar Pandey Kishan,Left hand Bat, 
MV Boucher,Mark Verdon Boucher,Right hand Bat,Right arm Medium
PM Sarvesh Kumar,PM Sarvesh Kumar,Right hand Bat,Right arm Medium
LMP Simmons,Lendl Mark Platter Simmons,Right hand Bat,Right arm Medium fast
PC Valthaty,Paul Chandrashekar Valthaty,Right hand Bat,Right arm Medium
D Kalyankrishna,Doddapaneni Kalyankrishna,Right hand Bat,Right arm Medium fast
Harpreet Brar,Harpreet Brar,Left hand Bat,Slow Left arm Orthodox
Sohail Tanvir,Sohail Tanvir,Left hand Bat,Left arm Medium fast
SP Narine,Sunil Philip Narine,Left hand Bat,Right arm Offbreak
VVS Laxman,Vangipurappu Venkata Sai Laxman,Right hand Bat,Right arm Offbreak
JE Root,Joseph Edward Root,Right hand Bat,"Right arm Offbreak, Legbreak"
JJ van der Wath,Johannes Jacobus van der Wath,Right hand Bat,Right arm Medium fast
Shoaib Ahmed,Syed Mohammad Shoaib Ahmed,Right hand Bat,Right arm Fast medium
P Awana,Parvinder Awana,Right hand Bat,Right arm Medium
ST Jayasuriya,Sanath Teran Jayasuriya,Left hand Bat,Slow Left arm Orthodox
GD Phillips,Glenn Dominic Phillips,Right hand Bat,Right arm Offbreak
PR Shah,Pinal Rohitbhai Shah,Right hand Bat, 
BR Dunk,Ben Robert Dunk,Left hand Bat,Right arm Offbreak
KR Mayers,Kyle Rico Mayers,Left hand Bat,Right arm Medium
Shoaib Akhtar,Shoaib Akhtar,Right hand Bat,Right arm Fast
KK Ahmed,Khaleel Khursheed Ahmed,Right hand Bat,Left arm Medium
Ankit Sharma,Ankit Nagendra Sharma,Left hand Bat,Slow Left arm Orthodox
Sikandar Raza,Sikandar Raza Butt,Right hand Bat,Right arm Offbreak
GJ Bailey,George John Bailey,Right hand Bat,Right arm Medium
MW Short,Matthew William Short,Right hand Bat,Right arm Offbreak
RR Bhatkal,Raju Ravi Bhatkal,Right hand Bat,Right arm Medium
RR Pant,Rishabh Rajendra Pant,Left hand Bat, 
LI Meriwala,Lukman Iqbal Meriwala,Left hand Bat,Left arm Fast medium
I Sharma,Ishant Sharma,Right hand Bat,Right arm Fast medium
DJ Jacobs,David Johan Jacobs,Right hand Bat,Right arm Medium
D Pretorius,Dwaine Pretorius,Right hand Bat,Right arm Medium fast
D du Preez,Dillon du Preez,Right hand Bat,Right arm Fast medium
Abdur Razzak,Abdur Razzak,Left hand Bat,Slow Left arm Orthodox
KK Cooper,Kevon Keston Cooper,Right hand Bat,Right arm Medium
DG Nalkande,Darshan Girish Nalkande,Right hand Bat,Right arm Fast medium
AD Mascarenhas,Adrian Dimitri Mascarenhas,Right hand Bat,Right arm Fast medium
NS Naik,Nikhil Shankar Naik,Right hand Bat, 
AUK Pathan,Asad Ullah Khan Pathan,Right hand Bat,Right arm Medium
JR Hopes,James Redfern Hopes,Right hand Bat,Right arm Medium
AJ Turner,Ashton James Turner,Right hand Bat,Right arm Offbreak
KJ Abbott,Kyle John Abbott,Right hand Bat,Right arm Fast medium
VH Zol,Vijay Hari Zol,Left hand Bat,Right arm Offbreak
J Syed Mohammad,Jamaluddin Syed Mohammad,Left hand Bat,Slow Left arm Orthodox
Akash Madhwal,Akash Madhwal,Right hand Bat,Right arm Medium fast
JM Kemp,Justin Miles Kemp,Right hand Bat,Right arm Fast medium
KMA Paul,Keemo Mandela Angus Paul,Right hand Bat,Right arm Fast medium
PN Mankad,Prerak Nileshkumar Mankad,Right hand Bat,Right arm Medium
RW Price,Raymond William Price,Right hand Bat,Slow Left arm Orthodox
M Manhas,Mithun Manhas,Right hand Bat,Right arm Offbreak
SA Yadav,Suryakumar Ashok Yadav,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Z Khan,Zaheer Khan,Right hand Bat,Left arm Fast medium
VS Yeligati,Vikrant Shyam Yeligati,Right hand Bat,Right arm Offbreak
NLTC Perera,Narangoda Liyanaarachchilage Thisara Chirantha Perera,Left hand Bat,Right arm Medium fast
SM Boland,Scott Michael Boland,Right hand Bat,Right arm Fast medium
Abhishek Sharma,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox
Jalaj S Saxena,Jalaj Sahai Saxena,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
LPC Silva,Lindamlilage Prageeth Chamara Silva,Right hand Bat,Legbreak
A Mukund,Abhinav Mukund,Left hand Bat,Legbreak Googly
RV Gomez,Raiphi Vincent Gomez,Right hand Bat,Right arm Medium
K Kartikeya,Kumar Kartikeya Singh,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin"
VG Arora,Vaibhav Gopal Arora,Right hand Bat,Right arm Fast medium
A Badoni,Ayush Badoni,Right hand Bat,Right arm Offbreak
A Mishra,Amit Mishra,Right hand Bat,Legbreak
R Parag,Riyan Parag,Right hand Bat,Legbreak
JA Richardson,Jhye Avon Richardson,Right hand Bat,Right arm Fast
B Lee,Brett Lee,Right hand Bat,Right arm Fast
JM Bairstow,Jonathan Marc Bairstow,Right hand Bat,Right arm Medium
OF Smith,Odean Fabian Smith,Right hand Bat,Right arm Fast medium
AU Rashid,Adil Usman Rashid,Right hand Bat,Legbreak
SR Tendulkar,Sachin Ramesh Tendulkar,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
DJ Muthuswami,Domnic Joseph Muthuswami,Right hand Bat,Right arm Medium
AJ Hosein,Akeal Jerome Hosein,Left hand Bat,Slow Left arm Orthodox
CV Varun,Varun Chakravarthy Vinod,Right hand Bat,Legbreak Googly
TK Curran,Thomas Kevin Curran,Right hand Bat,Right arm Fast medium
D Padikkal,Devdutt Padikkal,Left hand Bat,Right arm Offbreak
CR Brathwaite,Carlos Ricardo Brathwaite,Right hand Bat,Right arm Fast medium
TA Boult,Trent Alexander Boult,Right hand Bat,Left arm Fast medium
Anureet Singh,Kathuria Anureet Singh,Right hand Bat,Right arm Medium
Kartik Tyagi,Kartik Tyagi,Right hand Bat,Right arm Fast
Ankit Soni,Ankit Soni,Right hand Bat,Legbreak
Anirudh Singh,Anirudh Singh,Left hand Bat,Right arm Medium
AG Paunikar,Amit Gajanan Paunikar,Right hand Bat, 
CJ Ferguson,Callum James Ferguson,Right hand Bat,Right arm Medium
RJ Harris,Ryan James Harris,Right hand Bat,Right arm Fast
Tejas Baroka,Tejas Baroka,Right hand Bat,Legbreak Googly
BB Samantray,Biplab Bipin Samantray,Right hand Bat,Right arm Medium
SR Watson,Shane Robert Watson,Right hand Bat,Right arm Fast medium
YBK Jaiswal,Yashasvi Bhupendra Kumar Jaiswal,Left hand Bat,Legbreak
IC Porel,Ishan Chandranath Porel,Right hand Bat,Right arm Medium
NK Patel,Niraj Kanubhai Patel,Left hand Bat, 
J Suchith,Jagadeesha Suchith,Left hand Bat,Slow Left arm Orthodox
L Ablish,Love Ablish,Right hand Bat,Right arm Medium fast
Mohammed Shami,Mohammed Shami Ahmed,Right hand Bat,Right arm Fast
RT Ponting,Ricky Thomas Ponting,Right hand Bat,Right arm Medium
GS Sandhu,Gurinder Singh Sandhu,Left hand Bat,Right arm Fast medium
AT Carey,Alex Tyson Carey,Left hand Bat, 
L Ronchi,Luke Ronchi,Right hand Bat, 
CJ Anderson,Corey James Anderson,Left hand Bat,Left arm Medium fast
SS Iyer,Shreyas Santosh Iyer,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
SO Hetmyer,Shimron Odilon Hetmyer,Left hand Bat, 
DJ Hussey,David John Hussey,Right hand Bat,Right arm Offbreak
AJ Tye,Andrew James Tye,Right hand Bat,Right arm Medium fast
H Klaasen,Heinrich Klaasen,Right hand Bat,Right arm Offbreak
S Sriram,Sridharan Sriram,Left hand Bat,Slow Left arm Orthodox
KAJ Roach,Kemar Andre Jamal Roach,Right hand Bat,Right arm Fast medium
B Laughlin,Ben Laughlin,Right hand Bat,Right arm Fast medium
Shivam Mavi,Shivam Pankaj Mavi,Right hand Bat,Right arm Fast medium
AM Rahane,Ajinkya Madhukar Rahane,Right hand Bat,Right arm Medium
DS Lehmann,Darren Scott Lehmann,Left hand Bat,Slow Left arm Orthodox
H Sharma,Himanshu Sharma,Right hand Bat,Legbreak
CA Lynn,Christopher Austin Lynn,Right hand Bat,Slow Left arm Orthodox
DJ Bravo,Dwayne John Bravo,Right hand Bat,Right arm Medium
Virat Singh,Virat Binod Singh,Left hand Bat,Legbreak Googly
VR Iyer,Venkatesh Rajasekaran Iyer,Left hand Bat,Right arm Medium
Ramandeep Singh,Ramandeep Singh,Right hand Bat,Right arm Medium
Mashrafe Mortaza,Mashrafe Bin Mortaza,Right hand Bat,Right arm Fast medium
SS Prabhudessai,Suyash S Prabhudessai,Right hand Bat,Right arm Medium
AP Tare,Aditya Prakash Tare,Right hand Bat, 
DP Vijaykumar,David Paidikalva Vijaykumar,Right hand Bat,Right arm Medium
EJG Morgan,Eoin Joseph Gerard Morgan,Left hand Bat,Right arm Medium
SW Tait,Shaun William Tait,Right hand Bat,Right arm Fast
Monu Kumar,Monu Kumar Singh,Right hand Bat,Right arm Medium
RS Gavaskar,Rohan Sunil Gavaskar,Left hand Bat,Slow Left arm Orthodox
JC Buttler,Joseph Charles Buttler,Right hand Bat, 
BMAJ Mendis,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,Left hand Bat,Legbreak
SW Billings,Samuel William Billings,Right hand Bat, 
A Kamboj,Anshul Kamboj,Right hand Bat,Right arm Medium
A Raghuvanshi,Angkrish Raghuvanshi,Right hand Bat,Slow Left arm Orthodox
AA Kulkarni,Arshin Kulkarni,Right hand Bat,Right arm Medium
Arshad Khan,Arshad Khan,Left hand Bat,Left arm Medium
Ashutosh Sharma,Ashutosh Sharma,Right hand Bat, 
Azmatullah Omarzai,Azmatullah Omarzai,Right hand Bat,Right arm Medium fast
BR Sharath,BR Sharath,Right hand Bat, 
D Ferreira,Donovan Ferreira,Right hand Bat,Right arm Offbreak
G Coetzee,Gerald Coetzee,Right hand Bat,Right arm Fast
SB Dubey,Shubham Dubey,Left hand Bat,Right arm Offbreak
J Fraser-McGurk,Jake Fraser-McGurk,Right hand Bat,Legbreak Googly
KA Maharaj,Keshav Maharaj,Right hand Bat,Slow Left arm Orthodox
KS Rathore,Kunal Singh Rathore,Left hand Bat, 
KT Maphaka,Kwena Maphaka,Left hand Bat,Left arm Medium
Kumar Kushagra,Kumar Kushagra,Right hand Bat, 
L Wood,Luke Wood,Left hand Bat,Left arm Fast medium
LB Williams,Lizaad Williams,Left hand Bat,Right arm Medium fast
M Siddharth,Manimaran Siddharth,Right hand Bat,Slow Left arm Orthodox
MJ Suthar,Manav Suthar,Left hand Bat,Slow Left arm Orthodox
MP Yadav,Mayank Yadav,Right hand Bat,Right arm Fast
MS Bhandage,Manoj Bhandage,Left hand Bat,Right arm Medium fast
N Burger,Nandre Burger,Left hand Bat,Left arm Fast medium
N Thushara,Nuwan Thushara,Right hand Bat,Right arm Medium fast
Naman Dhir,Naman Dhir,Right hand Bat,Right arm Offbreak
R Minz,Robin Minz,Left hand Bat,Slow Left arm Orthodox
R Ravindra,Rachin Ravindra,Left hand Bat,Slow Left arm Orthodox
RJ Gleeson,Richard Gleeson,Right hand Bat,Right arm Fast medium
S Joseph,Shamar Joseph,Left hand Bat,Right arm Fast
SD Hope,Shai Hope,Right hand Bat, 
SH Johnson,Spencer Johnson,Left hand Bat,Left arm Fast
SK Rasheed,Shaik Rasheed,Right hand Bat,Legbreak
SZ Mulani,Shams Mulani,Left hand Bat,Slow Left arm Orthodox
Sameer Rizvi,Sameer Rizvi,Right hand Bat,Right arm Offbreak
Saurav Chauhan,Saurav Chauhan,Left hand Bat,Right arm Offbreak
Shivam Singh,Shivam Singh,Right hand Bat,Right arm Offbreak
Sumit Kumar,Sumit Kumar,Right hand Bat,Right arm Medium fast
T Kohler-Cadmore,Tom Kohler-Cadmore,Right hand Bat,Right arm Offbreak
Tanush Kotian,Tanush Kotian,Right hand Bat,Right arm Offbreak
V Kaverappa,Vidwath Kaverappa,Right hand Bat,Right arm Fast medium
V Viyaskanth,Vijayakanth Viyaskanth,Right hand Bat,Legbreak
WG Jacks,Will Jacks,Right hand Bat,Right arm Offbreak
Aniket Verma,Aniket Umashankar Verma,Right hand Bat,Right arm Medium fast
BKG Mendis,Balapuwaduge Kusal Gimhan Mendis,Right hand Bat,Legbreak
C Bosch,Corbin Bosch,Right hand Bat,Right arm Fast medium
DS Rathi,Digvesh Singh Rathi,Right hand Bat,Legbreak
E Malinga,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,Left hand Bat,Right arm Fast medium
Gulbadin Naib,Gulbadin Naib,Right hand Bat,Right arm Medium fast
J Overton,Jamie Overton,Right hand Bat,Right arm Fast
JG Bethell,Jacob Graham Bethell,Left hand Bat,Slow Left arm Orthodox
JP Inglis,Joshua Patrick Inglis,Right hand Bat,
Karim Janat,Karim Janat,Right hand Bat,Right arm Medium 
M Tiwari,Madhav Tiwari,Right hand Bat,Right arm Medium fast
MJ Owen,Mitchell J Owen,Right hand Bat,Right arm Medium
MP Breetzke,Matthew Paul Breetzke,Right hand Bat,
PHKD Mendis,Pasqual Handi Kamindu Dilanka Mendis,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox"
PVSN Raju,Penumatsa Venkata Satyanarayana Raju,Right hand Bat,Right arm Medium fast
PWA Mulder,Pieter Willem Adriaan Mulder,Right hand Bat,Right arm Medium
RD Rickelton,Ryan David Rickelton,Right hand Bat,
Sediqullah Atal,Sediqullah Atal,Left hand Bat,
Suryansh Shedge,Suryansh Shedge,Right hand Bat,Right arm Medium fast
